Model parameters : 76,109,685
batch:  680/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.61s 11.30m 0.52h
batch:  690/ 885, loss: 0.0902, cer: 0.74, elapsed: 10.09s 11.47m 0.52h
batch:  700/ 885, loss: 0.0901, cer: 0.74, elapsed: 9.68s 11.63m 0.52h
batch:  710/ 885, loss: 0.0902, cer: 0.74, elapsed: 9.53s 11.79m 0.53h
batch:  720/ 885, loss: 0.0902, cer: 0.74, elapsed: 10.13s 11.95m 0.53h
batch:  730/ 885, loss: 0.0902, cer: 0.74, elapsed: 10.46s 12.13m 0.53h
batch:  740/ 885, loss: 0.0902, cer: 0.74, elapsed: 9.80s 12.29m 0.53h
batch:  750/ 885, loss: 0.0902, cer: 0.74, elapsed: 9.89s 12.46m 0.54h
batch:  760/ 885, loss: 0.0902, cer: 0.74, elapsed: 9.97s 12.62m 0.54h
batch:  770/ 885, loss: 0.0903, cer: 0.74, elapsed: 9.94s 12.79m 0.54h
batch:  780/ 885, loss: 0.0904, cer: 0.74, elapsed: 9.47s 12.95m 0.54h
batch:  790/ 885, loss: 0.0904, cer: 0.74, elapsed: 10.24s 13.12m 0.55h
batch:  800/ 885, loss: 0.0904, cer: 0.74, elapsed: 9.86s 13.28m 0.55h
batch:  810/ 885, loss: 0.0905, cer: 0.74, elapsed: 9.75s 13.44m 0.55h
batch:  820/ 885, loss: 0.0906, cer: 0.74, elapsed: 9.96s 13.61m 0.56h
batch:  830/ 885, loss: 0.0906, cer: 0.74, elapsed: 9.47s 13.77m 0.56h
batch:  840/ 885, loss: 0.0906, cer: 0.74, elapsed: 9.94s 13.93m 0.56h
batch:  850/ 885, loss: 0.0907, cer: 0.74, elapsed: 9.98s 14.10m 0.56h
batch:  860/ 885, loss: 0.0907, cer: 0.74, elapsed: 9.52s 14.26m 0.57h
batch:  870/ 885, loss: 0.0908, cer: 0.74, elapsed: 9.97s 14.42m 0.57h
batch:  880/ 885, loss: 0.0908, cer: 0.74, elapsed: 9.82s 14.59m 0.57h
Epoch 1 (Training) Loss 0.0909 CER 0.7450
------------------------------------------------------Epoch 1 (Evaluate) Loss 0.2618 CER 0.7955
batch:    0/ 885, loss: 0.0996, cer: 0.83, elapsed: 1.48s 0.02m 0.66h
batch:   10/ 885, loss: 0.0949, cer: 0.80, elapsed: 9.91s 0.19m 0.66h
batch:   20/ 885, loss: 0.0972, cer: 0.80, elapsed: 10.11s 0.36m 0.66h
batch:   30/ 885, loss: 0.0963, cer: 0.80, elapsed: 9.99s 0.52m 0.67h
batch:   40/ 885, loss: 0.0962, cer: 0.79, elapsed: 10.19s 0.69m 0.67h
batch:   50/ 885, loss: 0.0951, cer: 0.79, elapsed: 10.08s 0.86m 0.67h
batch:   60/ 885, loss: 0.0958, cer: 0.79, elapsed: 9.88s 1.03m 0.67h
batch:   70/ 885, loss: 0.0964, cer: 0.79, elapsed: 9.56s 1.19m 0.68h
batch:   80/ 885, loss: 0.0973, cer: 0.79, elapsed: 9.98s 1.35m 0.68h
batch:   90/ 885, loss: 0.0976, cer: 0.79, elapsed: 10.37s 1.53m 0.68h
batch:  100/ 885, loss: 0.0979, cer: 0.79, elapsed: 10.17s 1.70m 0.69h
batch:  110/ 885, loss: 0.0985, cer: 0.79, elapsed: 9.55s 1.85m 0.69h
batch:  120/ 885, loss: 0.0985, cer: 0.79, elapsed: 9.75s 2.02m 0.69h
batch:  130/ 885, loss: 0.0986, cer: 0.79, elapsed: 10.07s 2.18m 0.69h
batch:  140/ 885, loss: 0.0987, cer: 0.80, elapsed: 9.79s 2.35m 0.70h
batch:  150/ 885, loss: 0.0991, cer: 0.80, elapsed: 9.86s 2.51m 0.70h
batch:  160/ 885, loss: 0.0993, cer: 0.80, elapsed: 9.73s 2.67m 0.70h
batch:  170/ 885, loss: 0.0992, cer: 0.80, elapsed: 10.37s 2.85m 0.70h
batch:  180/ 885, loss: 0.0993, cer: 0.80, elapsed: 10.11s 3.02m 0.71h
batch:  190/ 885, loss: 0.0997, cer: 0.80, elapsed: 9.79s 3.18m 0.71h
batch:  200/ 885, loss: 0.1000, cer: 0.80, elapsed: 10.33s 3.35m 0.71h
batch:  210/ 885, loss: 0.1004, cer: 0.80, elapsed: 9.71s 3.51m 0.72h
batch:  220/ 885, loss: 0.1010, cer: 0.81, elapsed: 9.36s 3.67m 0.72h
batch:  230/ 885, loss: 0.1017, cer: 0.81, elapsed: 9.92s 3.83m 0.72h
batch:  240/ 885, loss: 0.1021, cer: 0.81, elapsed: 9.91s 4.00m 0.72h
batch:  250/ 885, loss: 0.1027, cer: 0.81, elapsed: 10.22s 4.17m 0.73h
batch:  260/ 885, loss: 0.1030, cer: 0.81, elapsed: 10.36s 4.34m 0.73h
batch:  270/ 885, loss: 0.1035, cer: 0.82, elapsed: 10.21s 4.51m 0.73h
batch:  280/ 885, loss: 0.1039, cer: 0.82, elapsed: 9.91s 4.68m 0.74h
batch:  290/ 885, loss: 0.1045, cer: 0.82, elapsed: 10.69s 4.86m 0.74h
batch:  300/ 885, loss: 0.1051, cer: 0.82, elapsed: 9.71s 5.02m 0.74h
batch:  310/ 885, loss: 0.1059, cer: 0.82, elapsed: 10.16s 5.19m 0.74h
batch:  320/ 885, loss: 0.1068, cer: 0.83, elapsed: 10.18s 5.36m 0.75h
batch:  330/ 885, loss: 0.1075, cer: 0.83, elapsed: 10.15s 5.53m 0.75h
batch:  340/ 885, loss: 0.1083, cer: 0.84, elapsed: 10.26s 5.70m 0.75h
batch:  350/ 885, loss: 0.1089, cer: 0.84, elapsed: 10.57s 5.87m 0.76h
batch:  360/ 885, loss: 0.1098, cer: 0.84, elapsed: 9.54s 6.03m 0.76h
batch:  370/ 885, loss: 0.1104, cer: 0.85, elapsed: 10.14s 6.20m 0.76h
batch:  380/ 885, loss: 0.1110, cer: 0.85, elapsed: 9.61s 6.36m 0.76h
batch:  390/ 885, loss: 0.1116, cer: 0.85, elapsed: 9.78s 6.52m 0.77h
batch:  400/ 885, loss: 0.1122, cer: 0.85, elapsed: 9.70s 6.69m 0.77h
batch:  410/ 885, loss: 0.1129, cer: 0.86, elapsed: 10.16s 6.86m 0.77h
batch:  420/ 885, loss: 0.1136, cer: 0.86, elapsed: 10.30s 7.03m 0.77h
batch:  430/ 885, loss: 0.1143, cer: 0.86, elapsed: 10.25s 7.20m 0.78h
batch:  440/ 885, loss: 0.1149, cer: 0.87, elapsed: 10.10s 7.37m 0.78h
batch:  450/ 885, loss: 0.1154, cer: 0.87, elapsed: 9.98s 7.53m 0.78h
